id,createdAt,updatedAt,name,parentId
01FX34K9DD0FMCQ1P50Z3GQ8TC,2022-03-07 22:26:25.76405,2022-03-07 22:26:25.76405,TikTok,ÑAP01FXK6THFM2FDX32PB85GKPRNV1RÑ
01FX34K9DD3D4X3QKXT3TT69ZE,2022-03-07 22:26:25.76405,2022-03-07 22:26:25.76405,Facebook,ÑAP01FXK6THFM2FDX32PB85GKPRNV1RÑ
01FX34K9DD7Q8PVJATXFAE5SJD,2022-03-07 22:26:25.76405,2022-03-07 22:26:25.76405,Brand website,IAP01FXK6THFNGQ61AZK830AY0XWBAWW
01FX34K9DDA9RCW3MYXQFZ6C6P,2022-03-07 22:26:25.76405,2022-03-07 22:26:25.76405,Shelf frame,NDF01FXK6THFN3N1CDXH1GW7A0CSKF10
01FX34K9DDAB15BBA5C3FAHGMZ,2022-03-07 22:26:25.76405,2022-03-07 22:26:25.76405,Stopper,NDF01FXK6THFN3N1CDXH1GW7A0CSKF10
01FX34K9DDBFZQJ9TSHJZD97W7,2022-03-07 22:26:25.76405,2022-03-07 22:26:25.76405,TV,ÑAP01FXK6THFM2FDX32PB85GKPRNV1RÑ
01FX34K9DDFKAGCGCXDM0MPYEK,2022-03-07 22:26:25.76405,2022-03-07 22:26:25.76405,Shelf talker,NDF01FXK6THFN3N1CDXH1GW7A0CSKF10
01FX34K9DDHFYH3E8T0EZBMAFF,2022-03-07 22:26:25.76405,2022-03-07 22:26:25.76405,YouTube,ÑAP01FXK6THFM2FDX32PB85GKPRNV1RÑ
01FX34K9DDJTR0NDGVKPT5HNX0,2022-03-07 22:26:25.76405,2022-03-07 22:26:25.76405,External ecommerce platform,IAP01FXK6THFNGQ61AZK830AY0XWBAWW
01FX34K9DDTF8HC37R9VJ9WHSE,2022-03-07 22:26:25.76405,2022-03-07 22:26:25.76405,Google display banners,ÑAP01FXK6THFM2FDX32PB85GKPRNV1RÑ
01FX34K9DDTZ2QZV1NJEGW23WV,2022-03-07 22:26:25.76405,2022-03-07 22:26:25.76405,Totem,NDF01FXK6THFN3N1CDXH1GW7A0CSKF10
01FX34K9DDVDXJRG6AD8MM6NR0,2022-03-07 22:26:25.76405,2022-03-07 22:26:25.76405,Out of Home,ÑAP01FXK6THFM2FDX32PB85GKPRNV1RÑ
01FX34K9DDWM39GGYPGW2AF32A,2022-03-07 22:26:25.76405,2022-03-07 22:26:25.76405,Instagram,ÑAP01FXK6THFM2FDX32PB85GKPRNV1RÑ
01FX34K9DDWQ25YXJ68464T9PW,2022-03-07 22:26:25.76405,2022-03-07 22:26:25.76405,Stand,NDF01FXK6THFN3N1CDXH1GW7A0CSKF10
01FX34K9DDZXE2TC4XX09HY08Z,2022-03-07 22:26:25.76405,2022-03-07 22:26:25.76405,Key visual,ÑAP01FXK6THFM2FDX32PB85GKPRNV1RÑ
ÑAP01FXK6THFM2FDX32PB85GKPRNV1RÑ,2022-03-07 22:26:25.76405,2022-03-07 22:26:25.76405,Ads,
NDF01FXK6THFN3N1CDXH1GW7A0CSKF10,2022-03-07 22:26:25.76405,2022-03-07 22:26:25.76405,Point of sale,
IAP01FXK6THFNGQ61AZK830AY0XWBAWW,2022-03-07 22:26:25.76405,2022-03-25 18:53:07.755276,Website,
